iter	Passed	Remaining
355	225174	1039852
356	225797	1039175
357	226395	1038382
358	227243	1038737
359	228048	1038887
360	228963	1039532
361	229514	1038522
362	229937	1036935
363	230659	1036699
364	231327	1036219
365	231897	1035301
366	232530	1034664
367	233060	1033572
368	233829	1033538
369	234453	1032860
370	235088	1032232
371	235586	1031008
372	236062	1029688
373	236748	1029285
374	237476	1029066
375	238229	1028947
376	238865	1028326
377	239503	1027709
378	240005	1026514
379	240680	1026057
380	241264	1025216
381	241802	1024180
382	242478	1023728
383	243210	1023509
384	243752	1022494
385	244128	1020785
386	244762	1020161
387	245294	1019111
388	246111	1019241
389	246831	1018971
390	247427	1018186
391	248115	1017780
392	248745	1017134
393	249644	1017585
394	250410	1017491
395	251013	1016732
396	251460	1015343
397	252103	1014749
398	252697	1013957
399	253225	1012902
400	253944	1012612
401	254665	1012326
402	255414	1012152
403	256298	1012507
404	257050	1012335
405	257813	1012203
406	258397	1011367
407	259113	1011051
408	259782	1010549
409	260431	1009967
410	261268	1010111
411	261949	1009649
412	262435	1008439
413	263213	1008350
414	263784	1007467
415	264319	1006448
416	264818	1005295
417	265505	1004856
418	266170	1004333
419	266717	1003367
420	267416	1002970
421	268056	1002355
422	268745	1001917
423	269778	1002763
424	270340	1001851
425	270770	1000450
426	271454	999996
427	272289	1000089
428	272825	999088
429	273534	998718
430	274168	998073
431	274842	997575
432	275676	997654
433	276313	997020
434	277013	996611
435	277626	995889
436	278344	995542
437	279069	995219
438	279830	995024
439	280659	995065
440	281603	995510
441	282321	995151
442	282908	994329
443	283609	993911
444	284301	993458
445	285074	993286
446	285750	992775
447	286471	992417
448	286985	991345
449	287529	990378
450	288060	989368
451	288721	988808
452	289208	987651
453	290087	987830
454	290736	987224
455	291287	986289
456	292012	985940
457	292770	985704
458	293393	985010
459	294060	984462
460	294753	984002
461	295546	983874
462	296267	983505
463	297077	983428
464	297800	983061
465	298629	983043
466	299372	982737
467	300130	982479
468	300669	981504
469	301291	980799
470	301806	979750
471	302522	979353
472	303212	978870
473	303934	978489
474	304609	977955
475	305149	976992
476	305856	976559
477	306718	976622
478	307472	976338
479	308357	976466
480	309049	975980
481	309924	976068
482	310691	975814
483	311435	975489
484	312007	974621
485	312961	974946
486	313725	974674
487	314333	973919
488	314971	973254
489	315543	972389
490	316317	972143
491	316909	971341
492	317373	970145
493	318303	970374
494	319030	969980
495	319825	969793
496	320261	968518
497	320752	967409
498	321368	966681
499	322203	966610
500	322946	966261
501	323437	965158
502	324080	964508
503	324689	963761
504	325265	962915
505	325958	962413
506	326542	961593
507	327075	960623
508	327652	959782
509	328212	958896
510	328735	957899
511	329307	957051
512	329997	956543
513	330705	956087
514	331660	956340
515	332330	955772
516	333204	955787
517	333815	955047
518	334494	954501
519	335195	954018
520	335920	953601
521	336671	953257
522	337486	953091
523	338029	952158
524	338599	951302
525	339145	950382
526	339919	950098
527	340556	949430
528	341205	948796
529	341933	948382
530	342734	948168
531	343728	948483
532	344438	948013
533	345230	947766
534	345789	946880
535	346393	946120
536	346970	945284
537	347565	944499
538	348162	943721
539	349064	943766
540	349901	943633
541	350734	943489
542	351515	943201
543	352088	942353
544	352786	941843
545	353318	940888
546	353938	940169
547	354538	939397
548	355042	938372
549	355659	937647
550	356183	936679
551	356881	936166
552	357390	935162
553	358033	934505
554	358737	934009
555	359352	933282
556	360083	932855
557	360662	932035
558	361218	931154
559	361854	930483
