Image File,License Plate Text,Confidence Score
cropped_transformed_frame_0322_0.jpg,TS76,0
cropped_transformed_frame_0323_0.jpg,E1SZ4K,0
cropped_transformed_frame_0324_0.jpg,GBES4X,0
cropped_transformed_frame_0325_0.jpg,KHDS2X,0
cropped_transformed_frame_0326_0.jpg,PANS7K,0
cropped_transformed_frame_0329_0.jpg,T,0
cropped_transformed_frame_0330_0.jpg,8SK,0
cropped_transformed_frame_0331_0.jpg,S7K,0
cropped_transformed_frame_0332_0.jpg,S2,0
cropped_transformed_frame_0333_0.jpg,05SZIK,0
cropped_transformed_frame_0334_0.jpg,FOSZAK,0
cropped_transformed_frame_0335_0.jpg,BP,0
cropped_transformed_frame_0339_0.jpg,JP,0
cropped_transformed_frame_0340_0.jpg,TF,0
cropped_transformed_frame_0341_0.jpg,2,0
cropped_transformed_frame_0353_0.jpg,1APOSJEQ,0
cropped_transformed_frame_0354_0.jpg,F22,0
cropped_transformed_frame_0354_1.jpg,APOSJEO,0
cropped_transformed_frame_0355_0.jpg,F22,0
cropped_transformed_frame_0356_0.jpg,F27,0
cropped_transformed_frame_0360_0.jpg,P27I,0
cropped_transformed_frame_0361_0.jpg,FE22,0
cropped_transformed_frame_0362_0.jpg,F522,0
cropped_transformed_frame_0363_0.jpg,S2,0
cropped_transformed_frame_0364_0.jpg,KMOS7,0
cropped_transformed_frame_0364_1.jpg,OPOSJEO,0
cropped_transformed_frame_0365_0.jpg,P225,0
cropped_transformed_frame_0366_0.jpg,F,0
cropped_transformed_frame_0367_0.jpg,261,0
cropped_transformed_frame_0368_0.jpg,P2,0
cropped_transformed_frame_0369_0.jpg,SFRR,0
cropped_transformed_frame_0370_0.jpg,KMOGZZU,0
cropped_transformed_frame_0371_0.jpg,RHMOG2K,0
cropped_transformed_frame_0372_0.jpg,P2K,0
cropped_transformed_frame_0373_0.jpg,RNOS2K,0
cropped_transformed_frame_0374_0.jpg,NSZK,0
cropped_transformed_frame_0375_0.jpg,TS2K,0
cropped_transformed_frame_0376_0.jpg,KHOSZ2EK,0
cropped_transformed_frame_0377_0.jpg,P231,0
cropped_transformed_frame_0381_0.jpg,RHOS27K,0
cropped_transformed_frame_0382_0.jpg,KHOISZIKI,0
cropped_transformed_frame_0383_0.jpg,RHOS227K,0
cropped_transformed_frame_0385_0.jpg,APOSJEO,0
cropped_transformed_frame_0386_0.jpg,APOSJEO,0
cropped_transformed_frame_0390_0.jpg,APOSJEG,0
cropped_transformed_frame_0394_0.jpg,D221,0
cropped_transformed_frame_0400_0.jpg,F220,0
