Image File,License Plate Text,Confidence Score
cropped_transformed_frame_0141_0.jpg,FS,0
cropped_transformed_frame_0148_0.jpg,MAVDHVE,0
cropped_transformed_frame_0149_0.jpg,WAVDSHVF,0
cropped_transformed_frame_0151_0.jpg,FVDHVE,0
cropped_transformed_frame_0152_0.jpg,WDHVF,0
cropped_transformed_frame_0153_0.jpg,MA,0
cropped_transformed_frame_0154_0.jpg,WAVOSHVF,0
cropped_transformed_frame_0155_0.jpg,F2DB8HVE,0
cropped_transformed_frame_0156_0.jpg,BAVSHVE,0
cropped_transformed_frame_0156_1.jpg,F HWNI4 CJ,71
cropped_transformed_frame_0157_0.jpg,TA4V08HVE,0
cropped_transformed_frame_0158_0.jpg,TAVDHVE,0
cropped_transformed_frame_0159_0.jpg,BAH,0
cropped_transformed_frame_0160_0.jpg,WE,0
cropped_transformed_frame_0160_1.jpg,F HA4CF,81
cropped_transformed_frame_0161_0.jpg,W,0
cropped_transformed_frame_0161_1.jpg,I HAI4CD,38
cropped_transformed_frame_0162_0.jpg,AVDGHVE,0
cropped_transformed_frame_0162_1.jpg,F HM4C,56
cropped_transformed_frame_0163_0.jpg,OHVF,0
cropped_transformed_frame_0164_0.jpg,BAHF4,0
cropped_transformed_frame_0165_0.jpg,DC,0
cropped_transformed_frame_0166_0.jpg,GIS0G,0
cropped_transformed_frame_0167_0.jpg,BIS,0
cropped_transformed_frame_0168_0.jpg,AJ,0
cropped_transformed_frame_0170_0.jpg,FC,0
cropped_transformed_frame_0171_0.jpg,BGSOGI,0
cropped_transformed_frame_0172_0.jpg,GXIS0G2,0
cropped_transformed_frame_0173_0.jpg,S,0
cropped_transformed_frame_0174_0.jpg,BSOGI,0
cropped_transformed_frame_0175_0.jpg,F,0
cropped_transformed_frame_0176_0.jpg,WAV,0
cropped_transformed_frame_0177_0.jpg,YH,0
cropped_transformed_frame_0179_0.jpg,AGNISOGI,0
cropped_transformed_frame_0180_0.jpg,TO,0
cropped_transformed_frame_0181_0.jpg,FVE,0
cropped_transformed_frame_0182_0.jpg,FHVE,0
cropped_transformed_frame_0183_0.jpg,WA,0
cropped_transformed_frame_0184_0.jpg,W,0
cropped_transformed_frame_0185_0.jpg,W0E,0
cropped_transformed_frame_0186_0.jpg,AO8HUF,0
cropped_transformed_frame_0187_0.jpg,FHVE,0
cropped_transformed_frame_0188_0.jpg,WAVOHVF,0
cropped_transformed_frame_0190_0.jpg,THNI4CO,0
cropped_transformed_frame_0191_0.jpg,THNN4C,0
cropped_transformed_frame_0193_0.jpg,AVOBHV,0
cropped_transformed_frame_0194_0.jpg,TH,0
cropped_transformed_frame_0195_0.jpg,BV0HF,0
cropped_transformed_frame_0195_1.jpg,Z HNI4CU,38
cropped_transformed_frame_0196_0.jpg,I NSS4KJ,39
cropped_transformed_frame_0196_1.jpg,FAVOSHVE,0
cropped_transformed_frame_0197_0.jpg,I NS,53
cropped_transformed_frame_0197_1.jpg,BAVOSHVE,0
cropped_transformed_frame_0198_0.jpg,TAOHVE,0
cropped_transformed_frame_0199_0.jpg,KFOWVF,0
cropped_transformed_frame_0200_0.jpg,AVOBGHVI1,0
cropped_transformed_frame_0201_0.jpg,BCXIJ,0
cropped_transformed_frame_0207_0.jpg,BCXISOGD,0
cropped_transformed_frame_0208_0.jpg,B,0
cropped_transformed_frame_0221_0.jpg,AG,0
cropped_transformed_frame_0231_0.jpg,AGXISOGJ,0
cropped_transformed_frame_0234_0.jpg,G,0
cropped_transformed_frame_0235_0.jpg,50GI,0
cropped_transformed_frame_0236_0.jpg,50G,0
cropped_transformed_frame_0237_0.jpg,I 2Y27B,41
cropped_transformed_frame_0242_0.jpg,14P05JEO,0
cropped_transformed_frame_0247_0.jpg,14P05JEO,0
cropped_transformed_frame_0247_1.jpg,T,0
cropped_transformed_frame_0248_0.jpg,14P0SJED,0
cropped_transformed_frame_0248_1.jpg,P,0
cropped_transformed_frame_0249_0.jpg,6POSJEO,0
cropped_transformed_frame_0251_0.jpg,F,0
cropped_transformed_frame_0252_0.jpg,TMA,0
cropped_transformed_frame_0256_0.jpg,FLWV,0
cropped_transformed_frame_0257_0.jpg,F,0
cropped_transformed_frame_0261_0.jpg,FE LWIAVCY 1,55
cropped_transformed_frame_0262_0.jpg,T,0
cropped_transformed_frame_0265_0.jpg,WMV,0
cropped_transformed_frame_0266_0.jpg,TLMC,0
cropped_transformed_frame_0270_0.jpg,NOSSIK,0
cropped_transformed_frame_0275_0.jpg,,-1
cropped_transformed_frame_0276_0.jpg,PS27I,0
cropped_transformed_frame_0277_0.jpg,D22I,0
cropped_transformed_frame_0278_0.jpg,D7B,0
cropped_transformed_frame_0279_0.jpg,PS2D,0
cropped_transformed_frame_0280_0.jpg,MMS27K,0
cropped_transformed_frame_0299_0.jpg,APOSJED,0
cropped_transformed_frame_0300_0.jpg,APOSJED,0
cropped_transformed_frame_0306_0.jpg,7W,0
cropped_transformed_frame_0307_0.jpg,P2,0
cropped_transformed_frame_0307_1.jpg,APOSJEO,0
cropped_transformed_frame_0308_0.jpg,KITF74,0
cropped_transformed_frame_0308_1.jpg,6POSJEO,0
cropped_transformed_frame_0309_0.jpg,F,0
cropped_transformed_frame_0311_0.jpg,P2,0
cropped_transformed_frame_0312_0.jpg,P2K,0
cropped_transformed_frame_0313_0.jpg,F05Z2F,0
cropped_transformed_frame_0314_0.jpg,FS72I,0
cropped_transformed_frame_0315_0.jpg,SF,0
cropped_transformed_frame_0316_0.jpg,MSFAK,0
cropped_transformed_frame_0317_0.jpg,FS226,0
cropped_transformed_frame_0318_0.jpg,P2,0
cropped_transformed_frame_0321_0.jpg,TS22,0
cropped_transformed_frame_0322_0.jpg,TS76,0
cropped_transformed_frame_0323_0.jpg,E1SZ4K,0
cropped_transformed_frame_0324_0.jpg,GBES4X,0
cropped_transformed_frame_0325_0.jpg,KHDS2X,0
cropped_transformed_frame_0326_0.jpg,PANS7K,0
cropped_transformed_frame_0329_0.jpg,T,0
cropped_transformed_frame_0330_0.jpg,8SK,0
cropped_transformed_frame_0331_0.jpg,S7K,0
cropped_transformed_frame_0332_0.jpg,S2,0
cropped_transformed_frame_0333_0.jpg,05SZIK,0
cropped_transformed_frame_0334_0.jpg,FOSZAK,0
cropped_transformed_frame_0335_0.jpg,BP,0
cropped_transformed_frame_0339_0.jpg,JP,0
cropped_transformed_frame_0340_0.jpg,TF,0
cropped_transformed_frame_0341_0.jpg,2,0
cropped_transformed_frame_0353_0.jpg,1APOSJEQ,0
cropped_transformed_frame_0354_0.jpg,F22,0
cropped_transformed_frame_0354_1.jpg,APOSJEO,0
cropped_transformed_frame_0355_0.jpg,F22,0
cropped_transformed_frame_0356_0.jpg,F27,0
cropped_transformed_frame_0360_0.jpg,P27I,0
cropped_transformed_frame_0361_0.jpg,FE22,0
cropped_transformed_frame_0362_0.jpg,F522,0
cropped_transformed_frame_0363_0.jpg,S2,0
cropped_transformed_frame_0364_0.jpg,KMOS7,0
